config,path,solver,ode_steps,tau,seed,n_steps,elbo,kl,elbo_mc_stderr,ms_per_step,cumulative_train_s
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,1,800,-0.10574127733707428,0.10574127733707428,0.004301656503230333,74.79690296866465,59.83752237493172
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,1,1600,-0.07710444927215576,0.07710444927215576,0.0037062757182866335,74.50973908875312,119.215582542005
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,1,3200,-0.06905712187290192,0.06905712187290192,0.0034300051629543304,74.48295118498208,238.34544379194267
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,3,200,-0.6367633938789368,0.6367633938789368,0.018450286239385605,74.59227104496676,14.918454208993353
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,3,400,-0.22932925820350647,0.22932925820350647,0.006789404433220625,74.33904708479531,29.735618833918124
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,3,800,-0.09712875634431839,0.09712875634431839,0.004169984720647335,74.13352895862772,59.30682316690218
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,3,1600,-0.05079798772931099,0.05079798772931099,0.0026595094241201878,73.92277002625633,118.27643204201013
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,3,3200,-0.045322492718696594,0.045322492718696594,0.0028181378729641438,73.94347953122633,236.61913449992426
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,2,200,-0.753850519657135,0.753850519657135,0.030909983441233635,70.53440021001734,14.106880042003468
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,2,400,-0.21455860137939453,0.21455860137939453,0.0076614865101873875,70.1843446874409,28.07373787497636
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,2,800,-0.10913914442062378,0.10913914442062378,0.003802228718996048,70.07784421861288,56.062275374890305
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,2,1600,-0.08236400783061981,0.08236400783061981,0.00386643735691905,69.81807622374617,111.70892195799388
ODE geometric midpoint (steps=16),geometric,midpoint,16.0,,2,3200,-0.059098705649375916,0.059098705649375916,0.003571340348571539,69.74703372405202,223.19050791696645
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,3,200,-0.6366117000579834,0.6366117000579834,0.018440458923578262,152.4078420852311,30.48156841704622
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,3,400,-0.22934985160827637,0.22934985160827637,0.006770997308194637,151.7976749999798,60.719069999991916
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,3,800,-0.09952938556671143,0.09952938556671143,0.004181059543043375,151.20458822872024,120.96367058297619
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,3,1600,-0.0518307089805603,0.0518307089805603,0.0025286267045885324,151.07676932311733,241.72283091698773
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,3,3200,-0.04544081538915634,0.04544081538915634,0.002778903115540743,150.77979296875128,482.4953375000041
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,2,200,-0.753523588180542,0.753523588180542,0.03089826926589012,154.10834728972986,30.821669457945973
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,2,400,-0.21366898715496063,0.21366898715496063,0.007651797495782375,153.66032520745648,61.46413008298259
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,2,800,-0.11131404340267181,0.11131404340267181,0.003877547336742282,153.42848114625667,122.74278491700534
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,2,1600,-0.08275125920772552,0.08275125920772552,0.003767043584957719,153.04581776057603,244.87330841692165
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,2,3200,-0.05860497057437897,0.05860497057437897,0.003489740425720811,152.8859689712408,489.23510070797056
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,1,200,-0.5736216902732849,0.5736216902732849,0.032902736216783524,142.38310604006983,28.476621208013967
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,1,400,-0.1596403270959854,0.1596403270959854,0.005594952031970024,141.73281166760717,56.693124667042866
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,1,800,-0.10554400086402893,0.10554400086402893,0.00422026077285409,141.58912390630576,113.2712991250446
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,1,1600,-0.07731952518224716,0.07731952518224716,0.003714097198098898,141.054469218725,225.68715074995998
ODE geometric midpoint (steps=32),geometric,midpoint,32.0,,1,3200,-0.06902820616960526,0.06902820616960526,0.003422059118747711,140.82139562498924,450.62846599996556
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,2,200,-0.75348961353302,0.75348961353302,0.03089231625199318,74.91403791471384,14.982807582942769
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,2,400,-0.21429497003555298,0.21429497003555298,0.007631717715412378,74.70353916491149,29.881415665964596
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,2,800,-0.11115457862615585,0.11115457862615585,0.003889539511874318,74.56738176988438,59.6539054159075
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,2,1600,-0.08275128901004791,0.08275128901004791,0.003816960845142603,74.50636210931407,119.21017937490251
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,2,3200,-0.059809181839227676,0.059809181839227676,0.003544253995642066,74.62096643215773,238.78709258290473
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,1,200,-0.5734318494796753,0.5734318494796753,0.03289678692817688,76.1385964602232,15.22771929204464
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,1,400,-0.15942589938640594,0.15942589938640594,0.005566255189478397,75.73033916763961,30.292135667055845
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,1,800,-0.11064933240413666,0.11064933240413666,0.004492439795285463,75.56057755253278,60.44846204202622
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,1,1600,-0.07730506360530853,0.07730506360530853,0.0036685082595795393,75.38508992191055,120.61614387505688
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,1,3200,-0.0694568008184433,0.0694568008184433,0.003429647535085678,75.44842371095001,241.43495587504003
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,3,200,-0.6365582942962646,0.6365582942962646,0.01843678578734398,70.53453166503459,14.106906333006918
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,3,400,-0.22914662957191467,0.22914662957191467,0.006759076379239559,70.39747437491314,28.158989749965258
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,3,800,-0.10071156173944473,0.10071156173944473,0.004265306051820517,70.04662729115807,56.03730183292646
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,3,1600,-0.05099060386419296,0.05099060386419296,0.0027225648518651724,70.03330328123411,112.05328524997458
ODE geometric rk4 (steps=8),geometric,rk4,8.0,,3,3200,-0.04547201469540596,0.04547201469540596,0.002805546158924699,70.20226423155691,224.6472455409821
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,1,200,-0.5734282732009888,0.5734282732009888,0.03289681300520897,308.9913452055771,61.79826904111542
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,1,400,-0.15914909541606903,0.15914909541606903,0.0055724442936480045,307.7619625002262,123.10478500009049
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,1,800,-0.10574282705783844,0.10574282705783844,0.004238260444253683,309.61755036376417,247.69404029101133
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,1,1600,-0.07670421898365021,0.07670421898365021,0.0036847281735390425,308.23409619755694,493.1745539160911
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,1,3200,-0.06877069920301437,0.06877069920301437,0.0034271040931344032,305.5691527471936,977.8212887910195
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,3,200,-0.6365593075752258,0.6365593075752258,0.01843709498643875,305.07766458496917,61.015532916993834
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,3,400,-0.22911864519119263,0.22911864519119263,0.006761251483112574,307.8366604173789,123.13466416695155
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,3,800,-0.09615156054496765,0.09615156054496765,0.004103782586753368,306.7567832811619,245.40542662492953
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,3,1600,-0.05072259530425072,0.05072259530425072,0.0026848595589399338,304.9549092706002,487.9278548329603
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,3,3200,-0.04635673016309738,0.04635673016309738,0.0027775915805250406,296.745047421864,949.5841517499648
ODE geometric rk4 (steps=32),geometric,rk4,32.0,,2,200,-0.7534633874893188,0.7534633874893188,0.030891479924321175,289.4096612499561,57.88193224999122
